series	model	package_revision	archive_url
RMD-X	X12-320	260703	https://www.myactuator.com/_files/archives/cab28a_437d9139632349b4b59b890b301b2405.zip?dn=RMD-X12-320%20%20260703.zip
RMD-X	X6-60	260703	https://www.myactuator.com/_files/archives/cab28a_73ee2277286049bf9fc71ed18f7dec1f.zip?dn=RMD-X6-60%20%20260703.zip
RMD-X	X15-450	260703	https://www.myactuator.com/_files/archives/cab28a_f1eba578c465415296406d06cf3feba5.zip?dn=RMD-X15-450%20260703.zip
RMD-X	X4-36	260703	https://www.myactuator.com/_files/archives/cab28a_55831324f44f494c9d584df3dfea731a.zip?dn=RMD-X4-36%20260703.zip
RMD-X	X6-7	240403	https://www.myactuator.com/_files/archives/cab28a_f7b799404a994b8c92b31f93e56f9210.zip?dn=X6-7-240403.zip
RMD-X	X6-40	240403	https://www.myactuator.com/_files/archives/cab28a_339d07f8f12849e19115516ec2ee69b5.zip?dn=X6-40-240403.zip
RMD-X	X8-25	240814	https://www.myactuator.com/_files/archives/cab28a_85824a1893de4b058080c363664a1c9f.zip?dn=X8-25%20%20240814.zip
RMD-X	X6-8	240403	https://www.myactuator.com/_files/archives/cab28a_dea91bce3ce54bb79854e78cc7f79afc.zip?dn=X6-8-240403.zip
RMD-X	X10-40	240403	https://www.myactuator.com/_files/archives/cab28a_3b056e2d89b0455fab5e14164e82937b.zip?dn=X10-40-240403.zip
RMD-X	X10-100	240403	https://www.myactuator.com/_files/archives/cab28a_ec7248117963481faafbb6fdf7185e5e.zip?dn=X10-100-240403.zip
RMD-X	X2-7	260519	https://www.myactuator.com/_files/archives/cab28a_a8be185812d94daca249a7dc923ebe56.zip?dn=RMD-X2-7%20260519.zip
RMD-X	X4-10	260703	https://www.myactuator.com/_files/archives/cab28a_026a233a507e45bdae0b607526d0281b.zip?dn=RMD-X4-10%20260703.zip
RMD-X	X8-32	260703	https://www.myactuator.com/_files/archives/cab28a_7bc7b6be06384702ab3e30b2f911b91b.zip?dn=RMD-X8-32%20260703.zip
RMD-X	X8-120	260626	https://www.myactuator.com/_files/archives/cab28a_c2d3da522eba4448a67b2b2aef6f434e.zip?dn=X8-120%20260626.zip
RH	RH-14	260617	https://www.myactuator.com/_files/archives/cab28a_3a2517103bb14422b301c0294f701e6b.zip?dn=RH-14%20260617.zip
RH	RH-17	260615	https://www.myactuator.com/_files/archives/cab28a_aaa80542e6b7493194e6ce7844050e2d.zip?dn=RH-17%20260615.zip
RH	RH-20	260716	https://www.myactuator.com/_files/archives/cab28a_1aa64b91843b4a1db4956c2ee90b62ce.zip?dn=RH-20%20260716%20.zip
