series	model	package_revision	archive_filename	archive_sha256	archive_url
RMD-X	X12-320	260703	RMD-X--X12-320--260703.zip	9e8b93ac8b8377e51427eaf8bab92d8c202a8da51890cb4b7cfd243df688d5b9	https://www.myactuator.com/_files/archives/cab28a_437d9139632349b4b59b890b301b2405.zip?dn=RMD-X12-320%20%20260703.zip
RMD-X	X6-60	260703	RMD-X--X6-60--260703.zip	d62e5ca9360052349afc13c1e7f22e234d330c88a8435495be83fff311f33413	https://www.myactuator.com/_files/archives/cab28a_73ee2277286049bf9fc71ed18f7dec1f.zip?dn=RMD-X6-60%20%20260703.zip
RMD-X	X15-450	260703	RMD-X--X15-450--260703.zip	56e520c885ae326db53cf44ab762ba723dea6c1f632e1642b3660fa28c0fcfd1	https://www.myactuator.com/_files/archives/cab28a_f1eba578c465415296406d06cf3feba5.zip?dn=RMD-X15-450%20260703.zip
RMD-X	X4-36	260703	RMD-X--X4-36--260703.zip	4242fb97e9acec56ff82b52b59844404fa2ab66bd093f06b1f0ac3e4f8b88861	https://www.myactuator.com/_files/archives/cab28a_55831324f44f494c9d584df3dfea731a.zip?dn=RMD-X4-36%20260703.zip
RMD-X	X6-7	240403	RMD-X--X6-7--240403.zip	7a0b0c1f72431974e9ccb17087a04747d5bc7bf07e17b3a0814fe9cfb89ddf0f	https://www.myactuator.com/_files/archives/cab28a_f7b799404a994b8c92b31f93e56f9210.zip?dn=X6-7-240403.zip
RMD-X	X6-40	240403	RMD-X--X6-40--240403.zip	598c787769308d80998f8907164b4c682600ed6bc1e9106cf099589dace9a377	https://www.myactuator.com/_files/archives/cab28a_339d07f8f12849e19115516ec2ee69b5.zip?dn=X6-40-240403.zip
RMD-X	X8-25	240814	RMD-X--X8-25--240814.zip	59ed611db63fc4f39ca86b4c7eff0d01bdc1954a358e5fd6a13c442815ff01be	https://www.myactuator.com/_files/archives/cab28a_85824a1893de4b058080c363664a1c9f.zip?dn=X8-25%20%20240814.zip
RMD-X	X6-8	240403	RMD-X--X6-8--240403.zip	e21522fd1d4ae873428bc7353e4aa9fb9e7c55a2fd2dd7badff52d83b29e2945	https://www.myactuator.com/_files/archives/cab28a_dea91bce3ce54bb79854e78cc7f79afc.zip?dn=X6-8-240403.zip
RMD-X	X10-40	240403	RMD-X--X10-40--240403.zip	0c6f3d0ae1959fb2cfd94b9ead007a2b2e355d81abab36df0c0d16dc2658e398	https://www.myactuator.com/_files/archives/cab28a_3b056e2d89b0455fab5e14164e82937b.zip?dn=X10-40-240403.zip
RMD-X	X10-100	240403	RMD-X--X10-100--240403.zip	844f359170c5354e829fa5efc41c4778a0c4e1e2d62bee64a33f52ce2594f0db	https://www.myactuator.com/_files/archives/cab28a_ec7248117963481faafbb6fdf7185e5e.zip?dn=X10-100-240403.zip
