series	model	vendor_relative_path	step_sha256	bytes	step_structure	simulation_review	output_member	axis_origin_units_review	redistribution_status
RMD-X	X12-320	RMD-X/X12-320/vendor/RMD-X12-P20-320 电机组合图-A0.STEP	9b1710aef09916c8da02b4e6b750da6bbfe2ba44cad6ba03cd1b53e3858e5eea	4339662	assembly	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X6-60	RMD-X/X6-60/vendor/RMD-X6-P20-60 电机组合图-A0.STEP	7aa150d5ea2d1b81136e4925dd96045c2d3d0a0b9f7d444cb3a02084c88e9cdd	4384201	assembly	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X15-450	RMD-X/X15-450/vendor/RMD-X15-P20-450 电机组合图-A0.STEP	707843e9e9b5d3406f607c9e89d63f87bd13adde82f80d7ab55cd3ca36c40988	5178717	assembly	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X4-36	RMD-X/X4-36/vendor/RMD-X4-P36-36 电机组合图-A0.STEP	c20260bf8faf780d9bdd4599f7cc973bf42951f683b1b953af6082ff7c5ef51c	1921263	assembly	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X6-7	RMD-X/X6-7/vendor/X6-7/(RMD-X6 1г║6 V2) Product information 240220/2D 3D/RMD-X6 1г║6 V2.step	3054c529935d1bdf650d6e156f597701403f06039434710f3281135b7fabea3c	362233	flattened	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X6-7	RMD-X/X6-7/vendor/X6-7/X6-7 Product information 240403/2D 3D/X6-7(RMD-X6 1г║6 V2).step	3054c529935d1bdf650d6e156f597701403f06039434710f3281135b7fabea3c	362233	flattened	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X6-40	RMD-X/X6-40/vendor/X6-40/(RMD-X6-S2 1г║36 V2) Product information 240220/2D 3D/RMD-X6-S2 1г║36 V2.step	41ceb872d086221b45aa0f7422a2df01944a5ab8d0a8e13766184feb977782f6	573375	flattened	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X6-40	RMD-X/X6-40/vendor/X6-40/X6-40 Product information 240403/2D 3D/X6-40 (RMD-X6-S2 1г║36 V2).step	41ceb872d086221b45aa0f7422a2df01944a5ab8d0a8e13766184feb977782f6	573375	flattened	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X8-25	RMD-X/X8-25/vendor/X8-25 Product information 240814/2D 3D/X8-25 (RMD-X8 PRO 1：9 V2).step	751dcbccb675b6ac1ee2d745dea1e158857f459fe21ae3ca11c054c6931677c9	5151412	flattened	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X6-8	RMD-X/X6-8/vendor/X6-8/(RMD-X6 1г║8 V3) Product information 240220/2D 3D/RMD-X6-P8 V3.step	acc58264e35a36f8aab6f65b11db023df11c65fb6a29ea8300b56068cfc0b424	2116541	flattened	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X6-8	RMD-X/X6-8/vendor/X6-8/X6-8 Product information 240403/2D 3D/X6-8(RMD-X6 1г║8 V3).step	acc58264e35a36f8aab6f65b11db023df11c65fb6a29ea8300b56068cfc0b424	2116541	flattened	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X10-40	RMD-X/X10-40/vendor/X10-40/(RMD-X10 1г║7 V3)Product information 240220/2D 3D/RMD-X10 1г║7 V3.step	b6150ffd1bc9c296c18013238e7250f54034de5b6b26537060f6a76157ff30f6	2713841	flattened	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X10-40	RMD-X/X10-40/vendor/X10-40/X10-40 Product information 240403/2D 3D/X10-40(RMD-X10 1г║7 V3).step	b6150ffd1bc9c296c18013238e7250f54034de5b6b26537060f6a76157ff30f6	2713841	flattened	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X10-100	RMD-X/X10-100/vendor/X10-100/(RMD-X10-S2 V3)Product information 240220/2D 3D/RMD-X10-S2 V3.step	81304836d486734067048fb8130e1cfd7043c1a70496f2d180ce768ed2618ade	2516211	flattened	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X10-100	RMD-X/X10-100/vendor/X10-100/X10-100 Product information 240403/2D 3D/X10-100(RMD-X10-S2 V3).step	81304836d486734067048fb8130e1cfd7043c1a70496f2d180ce768ed2618ade	2516211	flattened	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X2-7	RMD-X/X2-7/vendor/RMD-X2-P28-7 电机组合图-A0.STEP	b46d560ca3ea90fc05f4a52341cd0b5cc703100e9808b44dbf5ef33e7ae0c7b2	1648091	assembly	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X4-10	RMD-X/X4-10/vendor/RMD-X4-P12.5-10 电机组合图-A0.STEP	c549a02aa8293449685ca41413cd6fdd69314fa5c67698b76235de5d2cd5b321	1506392	assembly	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X8-32	RMD-X/X8-32/vendor/RMD-X8-P9-32-R-电机组合图-B.STEP	9798fab437ec5d6799c80834a2d5b21cc016b71c9b2f520ee56ddc0655735f1b	2496890	assembly	unreviewed	not_separately_named	unreviewed	license_review_required
RMD-X	X8-120	RMD-X/X8-120/vendor/RMD-X8-P20-120 电机组合图 -A0.STEP	8b1c56cbd29f4c8d9710e351636064991d982d8823158b668fdda4f69aa536aa	3289212	assembly	unreviewed	not_separately_named	unreviewed	license_review_required
